"beginTime";"peakTime";"endTime";"classType";"classTypeNumber";"sourceLocation";"lat";"lon";"farestStartDate";"farestEndDate"
"2014-11-15T11:40Z";"2014-11-15T12:03Z";"2014-11-15T12:10Z";"M3.2";33,2;"S09E63";"-09";"+63";NA;NA
"2014-11-15T20:38Z";"2014-11-15T20:46Z";"2014-11-15T20:50Z";"M3.7";33,7;"S15E44";"-15";"+44";NA;NA
"2014-11-16T17:35Z";"2014-11-16T17:48Z";"2014-11-16T17:57Z";"M5.7";35,7;"S12E46";"-12";"+46";NA;NA
"2014-12-01T06:26Z";"2014-12-01T06:41Z";"2014-12-01T06:59Z";"M1.8";31,8;"S22E17";"-22";"+17";NA;NA
"2014-12-04T08:00Z";"2014-12-04T08:10Z";"2014-12-04T08:21Z";"M1.3";31,3;"S20W26";"-20";"-26";NA;NA
"2014-12-04T18:05Z";"2014-12-04T18:25Z";"2014-12-04T18:56Z";"M6.1";36,1;"S20W32";"-20";"-32";NA;NA
"2014-12-04T19:38Z";"2014-12-04T19:41Z";"2014-12-04T19:44Z";"M1.3";31,3;"S20W32";"-20";"-32";NA;NA
"2014-12-05T11:33Z";"2014-12-05T12:25Z";"2014-12-05T12:47Z";"M1.5";31,5;"S23W41";"-23";"-41";NA;NA
"2014-12-13T05:13Z";"2014-12-13T05:20Z";"2014-12-13T05:25Z";"M1.5";31,5;"S09E84";"-09";"+84";NA;NA
"2014-12-14T19:25Z";"2014-12-14T19:33Z";"2014-12-14T19:39Z";"M1.6";31,6;"S20E44";"-20";"+44";NA;NA
"2014-12-17T00:57Z";"2014-12-17T01:10Z";"2014-12-17T01:20Z";"M1.5";31,5;"S20E08";"-20";"+08";NA;NA
"2014-12-17T01:41Z";"2014-12-17T01:50Z";"2014-12-17T01:57Z";"M1.1";31,1;"S11E37";"-11";"+37";NA;NA
"2014-12-17T04:25Z";"2014-12-17T04:51Z";"2014-12-17T05:20Z";"M8.7";38,7;"S18E08";"-18";"+08";NA;NA
"2014-12-17T18:54Z";"2014-12-17T19:01Z";"2014-12-17T19:20Z";"M1.4";31,4;"S10E23";"-10";"+23";NA;NA
"2014-12-18T21:41Z";"2014-12-18T21:58Z";"2014-12-18T22:25Z";"M6.9";36,9;"S11E10";"-11";"+10";NA;NA
"2014-12-19T09:33Z";"2014-12-19T09:44Z";"2014-12-19T09:54Z";"M1.3";31,3;"S13W40";"-13";"-40";NA;NA
"2014-12-20T00:11Z";"2014-12-20T00:24Z";"2014-12-20T00:55Z";"X1.8";41,8;"S19W28";"-19";"-28";NA;NA
"2014-12-21T07:18Z";"2014-12-21T07:32Z";"2014-12-21T07:51Z";"M1.2";31,2;"S19W49";"-19";"-49";NA;NA
"2014-12-21T11:24Z";"2014-12-21T12:17Z";"2014-12-21T12:57Z";"M1.0";31;"S11W28";"-11";"-28";NA;NA
"2014-12-22T01:33Z";"2014-12-22T01:49Z";"2014-12-22T01:59Z";"M1.0";31;"S18W60";"-18";"-60";NA;NA
"2014-12-27T02:03Z";"2014-12-27T02:16Z";"2014-12-27T02:24Z";"M2.2";32,2;"S10W48";"-10";"-48";NA;NA
"2015-01-03T09:43Z";"2015-01-03T09:47Z";"2015-01-03T09:50Z";"M1.1";31,1;"S05E15";"-05";"+15";NA;NA
"2015-01-04T15:18Z";"2015-01-04T15:36Z";"2015-01-04T15:53Z";"M1.3";31,3;"S05E01";"-05";"+01";NA;NA
"2015-01-13T04:13Z";"2015-01-13T04:24Z";"2015-01-13T04:38Z";"M5.6";35,6;"N07W69";"+07";"-69";NA;NA
"2015-01-13T04:45Z";"2015-01-13T04:58Z";"2015-01-13T05:10Z";"M4.9";34,9;"N07W71";"+07";"-71";NA;NA
"2015-01-14T12:48Z";"2015-01-14T12:57Z";"2015-01-14T13:08Z";"M2.2";32,2;"N07W90";"+07";"-90";NA;NA
"2015-01-22T04:45Z";"2015-01-22T04:52Z";"2015-01-22T05:02Z";"M1.4";31,4;"S10E89";"-10";"+89";NA;NA
"2015-01-26T16:46Z";"2015-01-26T16:53Z";"2015-01-26T16:58Z";"M1.1";31,1;"S09E32";"-09";"+32";NA;NA
"2015-01-28T04:21Z";"2015-01-28T04:41Z";"2015-01-28T04:55Z";"M1.4";31,4;"S10E07";"-10";"+07";NA;NA
"2015-01-28T21:32Z";"2015-01-28T21:37Z";"2015-01-28T21:40Z";"M1.0";31;"N07E74";"+07";"+74";NA;NA
"2015-01-29T11:32Z";"2015-01-29T11:42Z";"2015-01-29T11:52Z";"M2.1";32,1;"S12W09";"-12";"-09";NA;NA
"2015-01-30T00:32Z";"2015-01-30T00:44Z";"2015-01-30T00:44Z";"M2.0";32;"S13W16";"-13";"-16";NA;NA
"2015-01-30T05:29Z";"2015-01-30T05:36Z";"2015-01-30T06:35Z";"M1.7";31,7;"S12W19";"-12";"-19";NA;NA
"2015-01-30T12:10Z";"2015-01-30T12:16Z";"2015-01-30T12:21Z";"M2.4";32,4;"N07E52";"+07";"+52";NA;NA
"2015-02-04T02:10Z";"2015-02-04T02:15Z";"2015-02-04T02:21Z";"M1.2";31,2;"N9W11";"+9";"-11";NA;NA
"2015-02-09T22:59Z";"2015-02-09T23:35Z";"2015-02-10T00:12Z";"M2.4";32,4;"N15E52";"+15";"+52";NA;NA
"2015-02-12T02:00Z";"2015-02-12T02:12Z";"2015-02-12T02:45Z";"C6.0";26;"S7W69";"-7";"-69";NA;NA
"2015-02-24T09:54Z";"2015-02-24T10:57Z";"2015-02-24T11:53Z";"C1.4";21,4;"S21E90";"-21";"+90";NA;NA
"2015-02-28T08:58Z";"2015-02-28T09:39Z";"2015-02-28T10:07Z";"C5.6";25,6;"S15W19";"-15";"-19";NA;NA
"2015-03-02T06:31Z";"2015-03-02T06:39Z";"2015-03-02T06:44Z";"M1.0";31;"N22W86";"+22";"-86";NA;NA
"2015-03-02T09:37Z";"2015-03-02T09:48Z";"2015-03-02T09:58Z";"M1.1";31,1;"N20W86";"+20";"-86";NA;NA
"2015-03-02T15:10Z";"2015-03-02T15:28Z";"2015-03-02T15:37Z";"M3.7";33,7;"N21W86";"+21";"-86";NA;NA
"2015-03-02T19:21Z";"2015-03-02T19:31Z";"2015-03-02T19:36Z";"M4.1";34,1;"N19W87";"+19";"-87";NA;NA
"2015-03-03T01:25Z";"2015-03-03T01:35Z";"2015-03-03T01:42Z";"M8.2";38,2;"N20W86";"+20";"-86";NA;NA
"2015-03-05T17:06Z";"2015-03-05T18:11Z";"2015-03-05T18:26Z";"M1.2";31,2;"S14E90";"-14";"+90";NA;NA
"2015-03-06T04:14Z";"2015-03-06T04:57Z";"2015-03-06T05:27Z";"M3.0";33;"S20E90";"-20";"+90";NA;NA
"2015-03-06T06:55Z";"2015-03-06T08:15Z";"2015-03-06T08:28Z";"M1.5";31,5;"S20E90";"-20";"+90";NA;NA
"2015-03-07T21:45Z";"2015-03-07T22:22Z";"2015-03-07T22:58Z";"M9.2";39,2;"S20E78";"-20";"+78";NA;NA
"2015-03-09T14:22Z";"2015-03-09T14:33Z";"2015-03-09T14:37Z";"M4.5";34,5;"S16E48";"-16";"+48";NA;NA
"2015-03-09T23:29Z";"2015-03-09T23:53Z";"2015-03-10T00:12Z";"M5.8";35,8;"S17E39";"-17";"+39";NA;NA
"2015-03-10T03:19Z";"2015-03-10T03:24Z";"2015-03-10T03:28Z";"M5.1";35,1;"S16E38";"-16";"+38";NA;NA
"2015-03-10T23:46Z";"2015-03-11T00:02Z";"2015-03-11T00:06Z";"M2.9";32,9;"S15E28";"-15";"+28";NA;NA
"2015-03-11T07:10Z";"2015-03-11T07:18Z";"2015-03-11T07:43Z";"M1.8";31,8;"S16E26";"-16";"+26";NA;NA
"2015-03-11T07:51Z";"2015-03-11T07:57Z";"2015-03-11T08:03Z";"M2.6";32,6;"S16E26";"-16";"+26";NA;NA
"2015-03-11T16:11Z";"2015-03-11T16:22Z";"2015-03-11T16:29Z";"X2.2";42,2;"S16E26";"-16";"+26";NA;NA
"2015-03-11T18:37Z";"2015-03-11T18:51Z";"2015-03-11T18:57Z";"M1.0";31;"S16E18";"-16";"+18";NA;NA
